learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),IBLStreams size,sigmaForKernel,kValue
2120.0,12.203125,0.0,2120.0,73.1,40.094423659362185,2120.0,0.0,1883.0,0.5,18.0
2130.0,12.34375,0.0,2130.0,73.0,39.97545663115585,2130.0,0.0,1889.0,0.5,18.0
2140.0,12.484375,0.0,2140.0,72.89999999999999,39.87291219226468,2140.0,0.0,1894.0,0.5,18.0
2150.0,12.625,0.0,2150.0,72.7,39.42916984682014,2150.0,0.0,1898.0,0.5,18.0
2160.0,12.71875,0.0,2160.0,72.7,39.560050300207216,2160.0,0.0,1908.0,0.5,18.0
2170.0,12.859375,0.0,2170.0,72.2,38.6519313607796,2170.0,0.0,1916.0,0.5,18.0
2180.0,12.984375,0.0,2180.0,72.39999999999999,38.77551020408163,2180.0,0.0,1925.0,0.5,18.0
2190.0,13.125,0.0,2190.0,72.89999999999999,39.63182093595181,2190.0,0.0,1932.0,0.5,18.0
2200.0,13.28125,0.0,2200.0,72.7,39.2258305803154,2200.0,0.0,1941.0,0.5,18.0
2210.0,13.4375,0.0,2210.0,72.5,39.010326106241784,2210.0,0.0,1951.0,0.5,17.0
2220.0,13.5625,0.0,2220.0,72.5,38.91603731674812,2220.0,0.0,1960.0,0.5,17.0
2230.0,13.71875,0.0,2230.0,72.39999999999999,38.70780054274686,2230.0,0.0,1966.0,0.5,17.0
2240.0,13.859375,0.0,2240.0,72.7,39.576103123450665,2240.0,0.0,1976.0,0.5,17.0
2250.0,13.984375,0.0,2250.0,72.7,39.25233644859813,2250.0,0.0,1981.0,0.5,17.0
2260.0,14.125,0.0,2260.0,72.5,39.133437212267154,2260.0,0.0,1986.0,0.5,17.0
2270.0,14.25,0.0,2270.0,72.39999999999999,39.03112505246416,2270.0,0.0,1996.0,0.5,17.0
2280.0,14.390625,0.0,2280.0,72.3,38.9787196545799,2280.0,0.0,2004.0,0.5,17.0
2290.0,14.546875,0.0,2290.0,72.5,39.46944417541975,2290.0,0.0,2014.0,0.5,17.0
2300.0,14.703125,0.0,2300.0,72.39999999999999,39.041628383631355,2300.0,0.0,2024.0,0.5,17.0
2310.0,14.828125,0.0,2310.0,72.5,39.3792434529583,2310.0,0.0,2034.0,0.5,16.0
2320.0,14.96875,0.0,2320.0,72.5,39.391000775795185,2320.0,0.0,2043.0,0.5,16.0
2330.0,15.125,0.0,2330.0,73.0,40.08414848479469,2330.0,0.0,2052.0,0.5,16.0
2340.0,15.28125,0.0,2340.0,72.8,39.913139140846255,2340.0,0.0,2058.0,0.5,16.0
2350.0,15.4375,0.0,2350.0,72.7,39.88267211612993,2350.0,0.0,2066.0,0.5,16.0
2360.0,15.578125,0.0,2360.0,72.89999999999999,40.2346506704305,2360.0,0.0,2075.0,0.5,16.0
2370.0,15.71875,0.0,2370.0,72.7,39.74201636898192,2370.0,0.0,2085.0,0.5,16.0
2380.0,15.859375,0.0,2380.0,72.8,39.86052949266165,2380.0,0.0,2093.0,0.5,16.0
2390.0,15.984375,0.0,2390.0,72.89999999999999,39.964554718653076,2390.0,0.0,2099.0,0.5,16.0
2400.0,16.125,0.0,2400.0,72.89999999999999,39.87291219226468,2400.0,0.0,2107.0,0.5,16.0
2410.0,16.265625,0.0,2410.0,72.7,39.65143731265418,2410.0,0.0,2117.0,0.5,16.0
2420.0,16.40625,0.0,2420.0,72.5,39.5588455080134,2420.0,0.0,2127.0,0.5,16.0
2430.0,16.546875,0.0,2430.0,72.5,39.64745334199484,2430.0,0.0,2131.0,0.5,16.0
2440.0,16.6875,0.0,2440.0,72.6,39.62496970231144,2440.0,0.0,2138.0,0.5,16.0
2450.0,16.84375,0.0,2450.0,72.89999999999999,40.27258621905635,2450.0,0.0,2147.0,0.5,16.0
2460.0,17.03125,0.0,2460.0,72.8,39.937022201219804,2460.0,0.0,2155.0,0.5,16.0
2470.0,17.1875,0.0,2470.0,72.7,39.5990973051905,2470.0,0.0,2165.0,0.5,16.0
2480.0,17.34375,0.0,2480.0,73.0,40.06792302057667,2480.0,0.0,2172.0,0.5,16.0
2490.0,17.5,0.0,2490.0,73.2,40.34475389985041,2490.0,0.0,2178.0,0.5,16.0
2500.0,17.65625,0.0,2500.0,73.2,40.565163201852236,2500.0,0.0,2188.0,0.5,16.0
2510.0,17.8125,0.0,2510.0,73.3,40.903054448871174,2510.0,0.0,2197.0,0.5,16.0
2520.0,17.96875,0.0,2520.0,73.2,40.99645538407344,2520.0,0.0,2206.0,0.5,16.0
2530.0,18.125,0.0,2530.0,73.4,41.560809712329785,2530.0,0.0,2213.0,0.5,16.0
2540.0,18.265625,0.0,2540.0,73.0,41.01712687871374,2540.0,0.0,2223.0,0.5,16.0
2550.0,18.421875,0.0,2550.0,72.8,40.66006946262456,2550.0,0.0,2232.0,0.5,16.0
2560.0,18.546875,0.0,2560.0,72.89999999999999,41.107440890125176,2560.0,0.0,2241.0,0.5,16.0
2570.0,18.703125,0.0,2570.0,72.8,40.785119648890586,2570.0,0.0,2245.0,0.5,16.0
2580.0,18.859375,0.0,2580.0,72.8,40.700691098563304,2580.0,0.0,2253.0,0.5,16.0
2590.0,19.015625,0.0,2590.0,72.5,40.19763052138968,2590.0,0.0,2262.0,0.5,16.0
